n,TiempoSec,VarSec,TiempoBin,VarBin,TiempoExp,VarExp 
0,25,1875,97,491,35,2275
10000000,1.82881e+07,3.67426e+11,906,276564,1262,90756
20000000,3.6527e+07,4.55734e+11,964,91904,1610,638300
30000000,5.48768e+07,2.74836e+12,1200,375800,1666,281844
40000000,7.28659e+07,1.27536e+12,1097,72891,1772,220616
50000000,9.14206e+07,4.14412e+12,56,2464,1873,111171
60000000,1.09365e+08,2.18262e+12,1098,81996,1857,116251
70000000,1.27843e+08,6.02648e+12,1248,124896,1881,247539
80000000,1.4536e+08,2.35084e+12,1256,96064,1801,99099
90000000,1.63694e+08,3.15525e+12,1237,84131,1905,165075
100000000,1.81946e+08,4.68056e+12,768,47176,1396,61984
