n,t1kmp,v1kmp,t2kmp,v2kmp,skmp,t1sa,v1sa,t2sa,v2sa,ssa,t1fmi,v1fmi,t2fmi,v2fmi,sfmi, 
10000,209015,1.47782e+07,242088,2.47636e+07,4004,1517.47,61163.2,7.16347e+07,2.81775e+11,40000,472066,7.47799e+07,5.35451e+07,8.08908e+13,200050
20000,439734,4.5561e+07,472507,7.05384e+07,4004,1730.57,97644.1,1.76194e+08,3.79283e+14,80000,473099,7.58479e+07,1.60977e+08,2.06163e+14,400050
30000,662633,1.27976e+08,693990,1.48179e+08,4004,1764.77,60468.6,2.64899e+08,1.41965e+15,120000,471602,8.68062e+07,3.5311e+08,2.88149e+15,600050
40000,891422,2.14465e+08,920504,2.91537e+08,4004,2103,3685.8,4.13691e+08,2.30408e+15,160000,471424,6.7672e+07,5.76301e+08,8.08706e+15,800050
50000,1.02752e+06,3.23144e+08,1.05777e+06,3.51816e+08,4004,2489.1,53544.8,5.01907e+08,4.12131e+15,200000,416084,6.16153e+07,8.13995e+08,8.07977e+15,1000050
60000,1.34121e+06,3.81311e+08,1.37281e+06,4.84982e+08,4004,1952.67,3724.42,5.88404e+08,4.6886e+15,240000,469346,7.84661e+07,1.13157e+09,2.50189e+16,1200050
70000,1.55448e+06,5.556e+08,1.58304e+06,5.74271e+08,4004,1991.9,4303.16,7.4715e+08,7.18366e+15,280000,470194,9.01483e+07,1.49471e+09,2.88645e+16,1400050
80000,1.77392e+06,6.90399e+08,1.79583e+06,7.87699e+08,4004,2073.07,5602.66,8.94413e+08,7.29315e+15,320000,468560,8.43302e+07,2.00396e+09,5.96211e+16,1600050
90000,4.00684e+06,3.91736e+13,2.03186e+06,8.79369e+08,4004,2065.6,4576.11,1.01935e+09,9.17064e+15,360000,1.53671e+06,1.59302e+13,2.30647e+09,3.46885e+16,1800050
100000,2.19063e+06,1.3553e+09,2.77325e+06,8.21945e+12,4004,2730.87,624730,1.16221e+09,1.79362e+16,400000,467519,1.83426e+08,2.82485e+09,3.6274e+16,2000050
